Name|Code|Description|PrimaryEffect|SecondaryEffect|TertiaryEffect|QuaternaryEffect|Weight|Value|Version
Abecean Longfin|00106e1b|Collected by catching Abacean Longfish.|Weakness to Frost|Fortify Sneak|Weakness to Poison|Fortify Restoration|0.5|15|Skyrim
Ancestor Moth Wing|xx0059ba|Collected by catching Ancestor Moths.|Damage Stamina|Fortify Conjuration|Damage Magicka Regen|Fortify Enchanting|0.1|2|Dawnguard
Bear Claws|0006bc02|Collected from various types of dead Bears.|Restore Stamina|Fortify Health|Fortify One Handed|Damage Magicka Regen|0.1|2|Skyrim
Bee|000a9195|Collected from beehives and by catching Bees.|Restore Stamina|Ravage Stamina|Regenerate Stamina|Weakness to Shock|0.1|3|Skyrim
Beehive Husk|000a9191|Collected from beehives.|Resist Poison|Fortify Light Armor|Fortify Sneak|Fortify Destruction|1|5|Skyrim
Bleeding Crown|0004da20|Harvested from Bleeding Crown, a mushroom found in various caves.|Weakness to Fire|Fortify Block|Weakness to Poison|Resist Magic|0.3|10|Skyrim
Blisterwort|0004da25|Harvested from Blisterwort mushrooms found in various caves.|Damage Stamina|Frenzy|Restore Health|Fortify Smithing|0.2|12|Skyrim
Blue Butterfly Wing|000727de|Collected by catching Blue Butterflies. Often found during daylight hours near flowering plants.|Damage Stamina|Fortify Conjuration|Damage Magicka Regen|Fortify Enchanting|0.1|2|Skyrim
Blue Dartwing|000e4f0c|Collected by catching Dragonflies found near rivers and streams below the snow line.|Resist Shock|Fortify Pickpocket|Restore Health|Fear|0.1|1|Skyrim
Blue Mountain Flower|00077e1c|Harvested from the blue variety of Mountain Flower, found throughout Skyrim.|Restore Health|Fortify Conjuration|Fortify Health|Damage Magicka Regen|0.1|2|Skyrim
Bone Meal|00034cdd|Collected from undead such as skeletons, and Draugr.|Damage Stamina|Resist Fire|Fortify Conjuration|Ravage Stamina|0.5|5|Skyrim
Briar Heart|0003ad61|Collected from Forsworn Briarhearts.|Restore Magicka|Fortify Block|Paralysis|Fortify Magicka|0.5|20|Skyrim
Butterfly Wing|000727e0|Collected from catching Monarch Butterflies. Often found during daylight hours near flowering plants.|Restore Health|Fortify Barter|Lingering Damage Stamina|Damage Magicka|0.1|3|Skyrim
Canis Root|0006abcb|Harvested from Canis Root, found in The Rift and Hjaalmarch|Damage Stamina|Fortify One Handed|Fortify Marksman|Paralysis|0.1|5|Skyrim
Charred Skeever Hide|00052695|Food, collected from dead Skeevers found on roasting spits.|Restore Stamina|Cure Disease|Resist Poison|Restore Health|0.5|1|Skyrim
Chaurus Eggs|0003ad56|Collected from Chaurus Egg Sacs, found in Falmer caves.|Weakness to Poison|Fortify Stamina|Damage Magicka|Invisibility|0.2|10|Skyrim
Chaurus Hunter Antennae|xx0183b7|Collected from dead Chaurus Hunters and Chaurus Hunter Fledglings.|Damage Stamina|Fortify Conjuration|Damage Magicka Regen|Fortify Enchanting|0.1|2|Dawnguard
Chicken's Egg|00023d77|Food, harvested from Chicken nests in various farms.|Resist Magic|Damage Magicka Regen|Waterbreathing|Lingering Damage Stamina|0.5|2|Skyrim
Creep Cluster|000b2183|Harvested from Creep Cluster, found in the volcanic tundra of Eastmarch.|Restore Magicka|Damage Stamina Regen|Fortify Carry Weight|Weakness to Magic|0.2|1|Skyrim
Crimson Nirnroot|000b701a|Harvested from Crimson Nirnroot, found in Blackreach, needed for the quest A Return To Your Roots.|Damage Health|Damage Stamina|Invisibility|Resist Magic|0.2|10|Skyrim
Cyrodilic Spadetail|00106e19|Collected by catching Cyrodilic Spadetail fish.|Damage Stamina|Fortify Restoration|Fear|Ravage Health|0.25|15|Skyrim
Daedra Heart|0003ad5b|Collected from dead Dremora.|Restore Health|Damage Stamina Regen|Damage Magicka|Fear|0.5|250|Skyrim
Deathbell|000516c8|Harvested from Deathbell, found in Hjaalmarch.|Damage Health|Ravage Stamina|Slow|Weakness to Poison|0.1|4|Skyrim
Dragon's Tongue|000889a2|Harvested from Dragon's Tongue, found in the volcanic tundra of Eastmarch.|Resist Fire|Fortify Barter|Fortify Illusion|Fortify Two Handed|0.1|5|Skyrim
Dwarven Oil|000f11c0|Collected from destroyed Dwarven Automatons, found in Dwarven Ruins.|Weakness to Magic|Fortify Illusion|Regenerate Magicka|Restore Magicka|0.25|15|Skyrim
Ectoplasm|0003ad63|Collected from undead Ghosts.|Restore Magicka|Fortify Destruction|Fortify Magicka|Damage Health|0.1|25|Skyrim
Elves Ear|00034d31|Harvested from Dried Elves Ear bunches found in homes and camps.|Restore Magicka|Fortify Marksman|Weakness to Frost|Resist Fire|0.1|10|Skyrim
Eye of Sabre Cat|0006bc07|Collected from dead Sabre Cats.|Restore Stamina|Ravage Health|Damage Magicka|Restore Health|0.1|2|Skyrim
Falmer Ear|0003ad5d|Collected from dead Falmer.|Damage Health|Frenzy|Resist Poison|Fortify Lockpicking|0.2|10|Skyrim
Fire Salts|0003ad5e|Collected from dead Flame Atronachs, a type of daedra.|Weakness to Frost|Resist Fire|Restore Magicka|Regenerate Magicka|0.25|50|Skyrim
Fly Amanita|0004da00|Collected from Fly Amanita mushrooms, found in various caves.|Resist Fire|Fortify Two Handed|Frenzy|Regenerate Stamina|0.1|2|Skyrim
Frost Mirriam|00034d32|Harvested from Dried Frost Mirriam bunches found in homes and camps.|Resist Frost|Fortify Sneak|Ravage Magicka|Damage Stamina Regen|0.1|1|Skyrim
Frost Salts|0003ad5f|Collected from dead Frost Atronachs, a type of daedra.|Weakness to Fire|Resist Frost|Restore Magicka|Fortify Conjuration|0.25|100|Skyrim
Garlic|00034d22|Food. Can also be harvested from Garlic Braids.|Resist Poison|Fortify Stamina|Regenerate Magicka|Regenerate Health|0.25|1|Skyrim
Giant Lichen|0007e8c1|Harvested from Giant Lichen, found in Hjaalmarch.|Weakness to Shock|Ravage Health|Weakness to Poison|Restore Magicka|0.25|5|Skyrim
Giant's Toe|0003ad64|Collected from dead Giants, which can be found in Giant Camps.|Damage Stamina|Fortify Health|Fortify Carry Weight|Damage Stamina Regen|1|20|Skyrim
Gleamblossom|xx00b097|Harvested from the plant of the same name.|Resist Magic|Fear|Regenerate Health|Paralysis|0.1|5|Dawnguard
Glow Dust|0003ad73|Collected from dead Wisps and Wispmothers.|Damage Magicka|Damage Magicka Regen|Fortify Destruction|Resist Shock|0.5|20|Skyrim
Glowing Mushroom|0007ee01|Harvested from Glowing Mushrooms, found in various caves.|Resist Shock|Fortify Destruction|Fortify Smithing|Fortify Health|0.2|5|Skyrim
Grass Pod|00083e64|Harvested from Spiky Grass, found in northern regions of Skyrim.|Resist Poison|Ravage Magicka|Fortify Alteration|Restore Magicka|0.1|1|Skyrim
Hagraven Claw|0006b689|Collected from dead Hagravens.|Resist Magic|Lingering Damage Magicka|Fortify Enchanting|Fortify Barter|0.25|20|Skyrim
Hagraven Feathers|0003ad66|Collected from dead Hagravens. Can also be found scattered around their sleeping areas.|Damage Magicka|Fortify Conjuration|Frenzy|Weakness to Shock|0.1|20|Skyrim
